epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23254,3.19294,15.3276,3.99786,0.03591,0.66667,0.07503,0.03084,4.17885,27.4614,5.91026,0,0,0
2,8.82666,3.21806,13.6859,3.73034,0.03625,0.66667,0.1082,0.04151,4.15144,28.0368,5.7924,1.604e-05,1.604e-05,1.604e-05
3,14.1728,3.33085,11.2708,3.7544,0.04256,0.66667,0.13203,0.04032,4.25767,28.5237,5.83967,2.416e-05,2.416e-05,2.416e-05
4,18.1962,3.56886,10.9983,3.801,0.34965,0.33333,0.39702,0.25303,4.42948,29.3729,5.90383,2.436e-05,2.436e-05,2.436e-05
5,22.4178,3.2106,11.6758,3.57347,0.67883,0.33333,0.40151,0.25258,4.53237,29.9233,5.91218,1.664e-05,1.664e-05,1.664e-05
